dteday,hr,workingday,cnt,temp,season,weathersit
2011-01-01,0,0,16,0.24,Spring,2
2011-01-01,1,0,40,0.22,Spring,2
2011-01-01,2,0,32,0.22,Spring,2
2011-01-01,3,0,13,0.24,Spring,2
2011-01-01,4,0,1,0.24,Spring,2
2011-01-01,5,0,1,0.24,Spring,2
2011-01-01,6,0,2,0.22,Spring,2
2011-01-01,7,0,3,0.2,Spring,2
2011-01-01,8,0,8,0.24,Spring,2
2011-01-01,9,0,14,0.32,Spring,2
2011-01-01,10,0,36,0.38,Spring,2
2011-01-01,11,0,56,0.36,Spring,2
2011-01-01,12,0,84,0.42,Spring,2
2011-01-01,13,0,94,0.46,Spring,2
2011-01-01,14,0,106,0.46,Spring,2
2011-01-01,15,0,110,0.44,Spring,2
2011-01-01,16,0,93,0.42,Spring,2
2011-01-01,17,0,67,0.44,Spring,2
2011-01-01,18,0,35,0.42,Spring,2
2011-01-01,19,0,37,0.42,Spring,2
2011-01-01,20,0,36,0.4,Spring,2
2011-01-01,21,0,34,0.4,Spring,2
2011-01-01,22,0,28,0.4,Spring,2
2011-01-01,23,0,39,0.46,Spring,2
2011-01-02,0,0,17,0.46,Spring,2
2011-01-02,1,0,17,0.44,Spring,2
2011-01-02,2,0,9,0.42,Spring,2
2011-01-02,3,0,6,0.46,Spring,2
2011-01-02,4,0,3,0.46,Spring,2
2011-01-02,6,0,2,0.42,Spring,2
2011-01-02,7,0,1,0.4,Spring,2
2011-01-02,8,0,8,0.4,Spring,2
2011-01-02,9,0,20,0.38,Spring,2
2011-01-02,10,0,53,0.36,Spring,2
2011-01-02,11,0,70,0.36,Spring,2
2011-01-02,12,0,93,0.36,Spring,2
2011-01-02,13,0,75,0.36,Spring,2
2011-01-02,14,0,59,0.36,Spring,2
2011-01-02,15,0,74,0.34,Spring,2
2011-01-02,16,0,76,0.34,Spring,2
2011-01-02,17,0,65,0.34,Spring,2
2011-01-02,18,0,53,0.36,Spring,2
2011-01-02,19,0,30,0.32,Spring,2
2011-01-02,20,0,22,0.3,Spring,2
2011-01-02,21,0,31,0.26,Spring,2
2011-01-02,22,0,9,0.24,Spring,2
2011-01-02,23,0,8,0.22,Spring,2
2011-01-03,0,1,5,0.22,Spring,1
2011-01-03,1,1,2,0.2,Spring,1
2011-01-03,4,1,1,0.16,Spring,1
2011-01-03,5,1,3,0.16,Spring,1
2011-01-03,6,1,30,0.14,Spring,1
2011-01-03,7,1,64,0.14,Spring,1
2011-01-03,8,1,154,0.14,Spring,1
2011-01-03,9,1,88,0.16,Spring,1
2011-01-03,10,1,44,0.18,Spring,1
2011-01-03,11,1,51,0.2,Spring,1
2011-01-03,12,1,61,0.22,Spring,1
2011-01-03,13,1,61,0.24,Spring,1
2011-01-03,14,1,77,0.26,Spring,1
2011-01-03,15,1,72,0.26,Spring,1
2011-01-03,16,1,76,0.26,Spring,1
2011-01-03,17,1,157,0.24,Spring,1
2011-01-03,18,1,157,0.24,Spring,1
2011-01-03,19,1,110,0.2,Spring,1
2011-01-03,20,1,52,0.2,Spring,1
2011-01-03,21,1,52,0.18,Spring,1
2011-01-03,22,1,20,0.14,Spring,1
2011-01-03,23,1,12,0.18,Spring,1
2011-01-04,0,1,5,0.16,Spring,1
2011-01-04,1,1,2,0.16,Spring,1
2011-01-04,2,1,1,0.14,Spring,1
2011-01-04,4,1,2,0.14,Spring,1
2011-01-04,5,1,4,0.12,Spring,1
2011-01-04,6,1,36,0.12,Spring,1
2011-01-04,7,1,94,0.12,Spring,1
2011-01-04,8,1,179,0.14,Spring,1
2011-01-04,9,1,100,0.16,Spring,1
2011-01-04,10,1,42,0.16,Spring,1
2011-01-04,11,1,57,0.22,Spring,1
2011-01-04,12,1,78,0.22,Spring,1
2011-01-04,13,1,97,0.24,Spring,1
2011-01-04,14,1,63,0.26,Spring,1
2011-01-04,15,1,65,0.28,Spring,1
2011-01-04,16,1,83,0.3,Spring,1
2011-01-04,17,1,212,0.28,Spring,1
2011-01-04,18,1,182,0.26,Spring,1
2011-01-04,19,1,112,0.24,Spring,1
2011-01-04,20,1,54,0.24,Spring,1
2011-01-04,21,1,48,0.22,Spring,1
2011-01-04,22,1,35,0.22,Spring,1
2011-01-04,23,1,11,0.2,Spring,1
2011-01-05,0,1,6,0.2,Spring,1
2011-01-05,1,1,6,0.16,Spring,1
